rank,movie_name,ww_lifetime_gross_rev,domestic_lifetime_gross_rev,domestic_percent,foreign_lifetime_gross_rev,foreign_percent,year
"1,315",Swordfish,"$147,080,413","$69,772,969",47.4%,"$77,307,444",52.6%,2001
"1,316",Evil Dead Rise,"$147,033,054","$67,233,054",45.7%,"$79,800,000",54.3%,2023
"1,317",Planes: Fire & Rescue,"$146,965,787","$59,165,787",40.3%,"$87,800,000",59.7%,2014
"1,318",The Last Witch Hunter,"$146,936,910","$27,367,660",18.6%,"$119,569,250",81.4%,2015
"1,319",The Boss Baby: Family Business,"$146,745,280","$57,300,280",39%,"$89,445,000",61%,2021
"1,320",Angel Has Fallen,"$146,661,977","$69,030,436",47.1%,"$77,631,541",52.9%,2019
"1,321",Mama,"$146,428,180","$71,628,180",48.9%,"$74,800,000",51.1%,2013
"1,322",Star Trek: First Contact,"$146,027,888","$92,027,888",63%,"$54,000,000",37%,1996
"1,323",Music and Lyrics,"$145,896,422","$50,572,589",34.7%,"$95,323,833",65.3%,2007
"1,324",Time Raiders,"$145,819,137",-,-,"$145,819,137",100%,2016
"1,325",Driving Miss Daisy,"$145,793,296","$106,593,296",73.1%,"$39,200,000",26.9%,1989
"1,326",Blades of Glory,"$145,710,347","$118,594,548",81.4%,"$27,115,799",18.6%,2007
"1,327",The Foreigner,"$145,418,070","$34,393,507",23.6%,"$111,024,563",76.4%,2017
"1,328",Home on the Range,"$145,358,062","$50,030,461",34.4%,"$95,327,601",65.6%,2004
"1,329",The Exorcism of Emily Rose,"$145,166,804","$75,072,454",51.7%,"$70,094,350",48.3%,2005
"1,330","Crazy, Stupid, Love.","$145,086,643","$84,379,584",58.2%,"$60,707,059",41.8%,2011
"1,331",The Invisible Man,"$144,492,724","$70,410,000",48.7%,"$74,082,724",51.3%,2020
"1,332",Where the Crawdads Sing,"$144,353,965","$90,230,760",62.5%,"$54,123,205",37.5%,2022
"1,333",PAW Patrol: The Movie,"$144,327,371","$40,127,371",27.8%,"$104,200,000",72.2%,2021
"1,334",Herbie Fully Loaded,"$144,146,816","$66,023,816",45.8%,"$78,123,000",54.2%,2005
"1,335",The Beach,"$144,056,873","$39,785,027",27.6%,"$104,271,846",72.4%,2000
"1,336",Pete's Dragon,"$143,695,338","$76,233,151",53%,"$67,462,187",47%,2016
"1,337",Die Hard,"$143,651,650","$85,892,546",59.8%,"$57,759,104",40.2%,1988
"1,338",Everything Everywhere All at Once,"$143,412,671","$77,191,785",53.8%,"$66,220,886",46.2%,2022
"1,339",Garfield: A Tail of Two Kitties,"$143,325,970","$28,426,747",19.8%,"$114,899,223",80.2%,2006
"1,340",Spy Game,"$143,049,560","$62,362,560",43.6%,"$80,687,000",56.4%,2001
"1,341",More Than Blue,"$142,958,164","$722,669",0.5%,"$142,235,495",99.5%,2018
"1,342",Meet Joe Black,"$142,940,100","$44,619,100",31.2%,"$98,321,000",68.8%,1998
"1,343",Paranormal Activity 4,"$142,802,657","$53,885,000",37.7%,"$88,917,657",62.3%,2012
"1,344",The Legend of Zorro,"$142,400,065","$46,464,023",32.6%,"$95,936,042",67.4%,2005
"1,345",Power Rangers,"$142,337,240","$85,364,450",60%,"$56,972,790",40%,2017
"1,346",New Year's Eve,"$142,044,638","$54,544,638",38.4%,"$87,500,000",61.6%,2011
"1,347",Onward,"$141,940,042","$61,555,145",43.4%,"$80,384,897",56.6%,2020
"1,348",Monster House,"$141,861,243","$73,661,010",51.9%,"$68,200,233",48.1%,2006
"1,349",Legally Blonde,"$141,778,365","$96,520,674",68.1%,"$45,257,691",31.9%,2001
"1,350",The Taking of Tiger Mountain,"$141,654,055","$228,984",0.2%,"$141,425,071",99.8%,2014
"1,351",National Lampoon's Animal House,"$141,607,219","$141,600,000",100%,"$7,219",<0.1%,1978
"1,352",Gothika,"$141,591,324","$59,694,580",42.2%,"$81,896,744",57.8%,2003
"1,353",Big Momma's House 2,"$141,522,961","$70,165,972",49.6%,"$71,356,989",50.4%,2006
"1,354",Bad Boys,"$141,407,024","$65,807,024",46.5%,"$75,600,000",53.5%,1995
"1,355",Mona Lisa Smile,"$141,337,989","$63,860,942",45.2%,"$77,477,047",54.8%,2003
"1,356",Scary Movie 2,"$141,220,678","$71,308,997",50.5%,"$69,911,681",49.5%,2001
"1,357",Shallow Hal,"$141,069,860","$70,839,203",50.2%,"$70,230,657",49.8%,2001
"1,358",The SpongeBob SquarePants Movie,"$141,067,695","$85,417,988",60.6%,"$55,649,707",39.4%,2004
"1,359",Evita,"$141,047,179","$50,047,179",35.5%,"$91,000,000",64.5%,1996
"1,360",The Rugrats Movie,"$140,894,675","$100,494,675",71.3%,"$40,400,000",28.7%,1998
"1,361",Lion,"$140,853,810","$51,738,905",36.7%,"$89,114,905",63.3%,2016
"1,362",The Devil's Own,"$140,807,547","$42,868,348",30.4%,"$97,939,199",69.6%,1997
"1,363",Trainwreck,"$140,795,793","$110,212,700",78.3%,"$30,583,093",21.7%,2015
"1,364",Sausage Party,"$140,705,322","$97,685,686",69.4%,"$43,019,636",30.6%,2016
"1,365",Girls Trip,"$140,552,359","$115,171,585",81.9%,"$25,380,774",18.1%,2017
"1,366",Step Up Revolution,"$140,470,746","$35,074,677",25%,"$105,396,069",75%,2012
"1,367",Sommersby,"$140,081,992","$50,081,992",35.8%,"$90,000,000",64.2%,1993
"1,368",Legend of the Guardians: The Owls of Ga'Hoole,"$140,073,390","$55,675,313",39.8%,"$84,398,077",60.2%,2010
"1,369",Anastasia,"$139,804,348","$58,406,347",41.8%,"$81,398,001",58.2%,1997
"1,370",The Wolfman,"$139,789,765","$61,979,680",44.3%,"$77,810,085",55.7%,2010
"1,371",Saw IV,"$139,352,633","$63,300,095",45.4%,"$76,052,538",54.6%,2007
"1,372",Mr. Six,"$139,191,345","$1,415,450",1%,"$137,775,895",99%,2015
"1,373",Brüno,"$138,805,831","$60,054,530",43.3%,"$78,751,301",56.7%,2009
"1,374",Bird on a Wire,"$138,697,012","$70,978,012",51.2%,"$67,719,000",48.8%,1990
"1,375",Platoon,"$138,545,632","$138,530,565",100%,"$15,067",<0.1%,1986
"1,376",Nine Months,"$138,510,230","$69,684,532",50.3%,"$68,825,698",49.7%,1995
"1,377",The Admiral: Roaring Currents,"$138,342,258","$2,589,811",1.9%,"$135,752,447",98.1%,2014
"1,378",America's Sweethearts,"$138,307,673","$93,607,673",67.7%,"$44,700,000",32.3%,2001
"1,379",Let's Be Cops,"$138,224,951","$82,390,774",59.6%,"$55,834,177",40.4%,2014
"1,380",Smile 2,"$138,083,280","$68,967,012",50%,"$69,116,268",50%,2024
"1,381",The Talented Mr. Ripley,"$138,031,432","$81,298,265",58.9%,"$56,733,167",41.1%,1999
"1,382",Far and Away,"$137,783,840","$58,883,840",42.7%,"$78,900,000",57.3%,1992
"1,383",Scream,"$137,743,924","$81,641,405",59.3%,"$56,102,519",40.7%,2022
"1,384",Bridge to Terabithia,"$137,587,063","$82,272,442",59.8%,"$55,314,621",40.2%,2007
"1,385",Stardust,"$137,515,140","$38,634,938",28.1%,"$98,880,202",71.9%,2007
"1,386",Escape Plan,"$137,328,301","$25,135,965",18.3%,"$112,192,336",81.7%,2013
"1,387",Death on the Nile,"$137,307,235","$45,630,104",33.2%,"$91,677,131",66.8%,2022
"1,388",Last Action Hero,"$137,298,489","$50,016,394",36.4%,"$87,282,095",63.6%,1993
"1,389",The First Purge,"$137,056,262","$69,488,745",50.7%,"$67,567,517",49.3%,2018
"1,390",Conspiracy Theory,"$136,982,834","$75,982,834",55.5%,"$61,000,000",44.5%,1997
"1,391",The Wind Rises,"$136,937,645","$5,209,580",3.8%,"$131,728,065",96.2%,2012
"1,392",Anaconda,"$136,885,767","$65,885,767",48.1%,"$71,000,000",51.9%,1997
"1,393",The Godfather Part III,"$136,861,392","$66,761,392",48.8%,"$70,100,000",51.2%,1990
"1,394",Annie,"$136,853,506","$85,911,262",62.8%,"$50,942,244",37.2%,2014
"1,395",How Long Will I Love U,"$136,796,719","$746,933",0.6%,"$136,049,786",99.4%,2018
"1,396",Remember the Titans,"$136,771,683","$115,719,751",84.6%,"$21,051,932",15.4%,2000
"1,397",Skiptrace,"$136,579,287",-,-,"$136,579,287",100%,2016
"1,398",Tom & Jerry,"$136,536,687","$46,536,687",34.1%,"$90,000,000",65.9%,2021
"1,399",Contagion,"$136,515,867","$75,658,097",55.4%,"$60,857,770",44.6%,2011
"1,400",The Bounty Hunter,"$136,333,522","$67,061,228",49.2%,"$69,272,294",50.8%,2010
"1,401",17 Again,"$136,316,880","$64,167,069",47.1%,"$72,149,811",52.9%,2009
"1,402",The Exorcist: Believer,"$136,294,607","$65,537,395",48.1%,"$70,757,212",51.9%,2023
"1,403",Lost in Space,"$136,159,423","$69,117,629",50.8%,"$67,041,794",49.2%,1998
"1,404",Saw 3D,"$136,151,680","$45,710,178",33.6%,"$90,441,502",66.4%,2010
"1,405",Unknown,"$135,710,029","$63,686,397",46.9%,"$72,023,632",53.1%,2011
"1,406",Jack Ryan: Shadow Recruit,"$135,503,748","$50,577,412",37.3%,"$84,926,336",62.7%,2014
"1,407",Babel,"$135,330,835","$34,302,837",25.4%,"$101,027,998",74.6%,2006
"1,408",A Perfect World,"$135,130,999","$31,130,999",23%,"$104,000,000",77%,1993
"1,409",Perfume: The Story of a Murderer,"$135,039,924","$2,223,293",1.6%,"$132,816,631",98.4%,2006
"1,410",American Made,"$134,866,593","$51,342,000",38.1%,"$83,524,593",61.9%,2017
"1,411",Wall Street: Money Never Sleeps,"$134,748,021","$52,474,616",38.9%,"$82,273,405",61.1%,2010
"1,412",The Princess Diaries 2: Royal Engagement,"$134,734,481","$95,170,481",70.6%,"$39,564,000",29.4%,2004
"1,413",V for Vendetta,"$134,686,457","$70,511,035",52.4%,"$64,175,422",47.6%,2006
"1,414",Sense and Sensibility,"$134,582,776","$43,182,776",32.1%,"$91,400,000",67.9%,1995
"1,415",Last Vegas,"$134,410,488","$63,914,167",47.6%,"$70,496,321",52.4%,2012
"1,416",Inspector Gadget,"$134,403,112","$97,403,112",72.5%,"$37,000,000",27.5%,1999
"1,417",Black Rain,"$134,212,055","$46,212,055",34.4%,"$88,000,000",65.6%,1989
"1,418",Shazam! Fury of the Gods,"$134,138,006","$57,638,006",43%,"$76,500,000",57%,2023
"1,419",Scent of a Woman,"$134,095,253","$63,095,253",47%,"$71,000,000",53%,1992
"1,420",The Cat in the Hat,"$133,960,541","$101,149,285",75.5%,"$32,811,256",24.5%,2003
"1,421",Pokémon the Movie 2000,"$133,949,270","$43,758,684",32.7%,"$90,190,586",67.3%,2000
"1,422",Point Break,"$133,782,481","$28,782,481",21.5%,"$105,000,000",78.5%,2015
"1,423",Hot Shots! Part Deux,"$133,752,825","$38,922,972",29.1%,"$94,829,853",70.9%,1993
"1,424",The Artist,"$133,471,171","$44,671,682",33.5%,"$88,799,489",66.5%,2011
"1,425",The Big Short,"$133,440,870","$70,259,870",52.6%,"$63,181,000",47.4%,2015
"1,426",Halloween Kills,"$133,423,964","$92,002,155",69%,"$41,421,809",31%,2021
"1,427",1408,"$132,963,417","$71,985,628",54.1%,"$60,977,789",45.9%,2007
"1,428",Zero Dark Thirty,"$132,820,716","$95,720,716",72.1%,"$37,100,000",27.9%,2012
"1,429",A Wrinkle in Time,"$132,675,864","$100,478,608",75.7%,"$32,197,256",24.3%,2018
"1,430",Ghost Rider: Spirit of Vengeance,"$132,563,930","$51,774,002",39.1%,"$80,789,928",60.9%,2012
"1,431",A League of Their Own,"$132,440,069","$107,533,928",81.2%,"$24,906,141",18.8%,1992
"1,432",Be Somebody,"$132,326,332",-,-,"$132,326,332",100%,2021
"1,433",The Three Musketeers,"$132,274,484","$20,374,484",15.4%,"$111,900,000",84.6%,2011
"1,434",Blade: Trinity,"$131,977,904","$52,411,906",39.7%,"$79,565,998",60.3%,2004
"1,435",2 Guns,"$131,940,411","$75,612,460",57.3%,"$56,327,951",42.7%,2013
"1,436",Asterix at the Olympic Games,"$131,856,927",-,-,"$131,856,927",100%,2008
"1,437",Save the Last Dance,"$131,706,809","$91,057,006",69.1%,"$40,649,803",30.9%,2001
"1,438",The House with a Clock in Its Walls,"$131,523,093","$68,549,695",52.1%,"$62,973,398",47.9%,2018
"1,439",Seven Years in Tibet,"$131,457,682","$37,957,682",28.9%,"$93,500,000",71.1%,1997
"1,440",Bewitched,"$131,426,169","$63,313,159",48.2%,"$68,113,010",51.8%,2005
"1,441",Blade,"$131,211,897","$70,087,718",53.4%,"$61,124,179",46.6%,1998
"1,442",Asterix & Obelix: Mission Cleopatra,"$131,116,046","$3,115,188",2.4%,"$128,000,858",97.6%,2002
"1,443",School of Rock,"$131,098,967","$81,261,177",62%,"$49,837,790",38%,2003
"1,444",Aliens,"$131,060,248","$85,160,248",65%,"$45,900,000",35%,1986
"1,445",Boomerang,"$131,052,444","$70,052,444",53.4%,"$61,000,000",46.6%,1992
"1,446",Wolf,"$131,002,597","$65,002,597",49.6%,"$66,000,000",50.4%,1994
"1,447",Munich,"$130,982,407","$47,403,685",36.2%,"$83,578,722",63.8%,2005
"1,448",Man on Fire,"$130,834,852","$77,911,774",59.6%,"$52,923,078",40.4%,2004
"1,449",Blue Beetle,"$130,788,072","$72,488,072",55.4%,"$58,300,000",44.6%,2023
"1,450",Secret Superstar,"$130,765,691",-,-,"$130,765,691",100%,2017
"1,451","You, Me and Dupree","$130,628,903","$75,628,110",57.9%,"$55,000,793",42.1%,2006
"1,452",A Bad Moms Christmas,"$130,560,428","$72,110,659",55.2%,"$58,449,769",44.8%,2017
"1,453",About a Boy,"$130,549,455","$41,385,278",31.7%,"$89,164,177",68.3%,2002
"1,454",Cloud Atlas,"$130,516,424","$27,108,272",20.8%,"$103,408,152",79.2%,2012
"1,455",Raya and the Last Dragon,"$130,423,032","$54,723,032",42%,"$75,700,000",58%,2021
"1,456",Aliens vs. Predator: Requiem,"$130,290,885","$41,797,066",32.1%,"$88,493,819",67.9%,2007
"1,457",Failure to Launch,"$130,224,158","$88,715,192",68.1%,"$41,508,966",31.9%,2006
"1,458",Mean Girls,"$130,192,622","$86,058,055",66.1%,"$44,134,567",33.9%,2004
"1,459",Cheaper by the Dozen 2,"$130,154,568","$82,571,173",63.4%,"$47,583,395",36.6%,2005
"1,460",Jingle All the Way,"$129,832,389","$60,592,389",46.7%,"$69,240,000",53.3%,1996
"1,461",An Officer and a Gentleman,"$129,795,890","$129,795,554",100%,$336,-,1982
"1,462",Red Cliff,"$129,710,514","$627,047",0.5%,"$129,083,467",99.5%,2008
"1,463",Julie & Julia,"$129,540,522","$94,125,426",72.7%,"$35,415,096",27.3%,2009
"1,464",Transformers One,"$129,364,141","$59,054,170",45.6%,"$70,309,971",54.4%,2024
"1,465",Resident Evil: Apocalypse,"$129,342,769","$51,201,453",39.6%,"$78,141,316",60.4%,2004
"1,466",Atonement,"$129,266,061","$50,927,067",39.4%,"$78,338,994",60.6%,2007
"1,467",Warm Hug,"$129,240,236",-,-,"$129,240,236",100%,2020
"1,468",The Fighter,"$129,190,869","$93,617,009",72.5%,"$35,573,860",27.5%,2009
"1,469",Pan,"$128,988,320","$35,088,320",27.2%,"$93,900,000",72.8%,2015
"1,470",The Woman in Black,"$128,955,898","$54,333,290",42.1%,"$74,622,608",57.9%,2012
"1,471",Space Cowboys,"$128,884,132","$90,464,773",70.2%,"$38,419,359",29.8%,2000
"1,472",The Forbidden Kingdom,"$128,792,411","$52,075,270",40.4%,"$76,717,141",59.6%,2008
"1,473",The Heartbreak Kid,"$128,453,183","$36,787,257",28.6%,"$91,665,926",71.4%,2007
"1,474",Space Station 3D,"$128,364,269","$93,383,953",72.8%,"$34,980,316",27.2%,2002
"1,475",Sister,"$128,317,206",-,-,"$128,317,206",100%,2021
"1,476",Step Brothers,"$128,110,667","$100,468,793",78.4%,"$27,641,874",21.6%,2008
"1,477",A Perfect Murder,"$128,038,368","$67,638,368",52.8%,"$60,400,000",47.2%,1998
"1,478",Blended,"$128,006,208","$46,306,208",36.2%,"$81,700,000",63.8%,2014
"1,479",Everest,"$127,990,128","$87,178,599",68.1%,"$40,811,529",31.9%,1998
"1,480",Forever Young,"$127,956,187","$55,956,187",43.7%,"$72,000,000",56.3%,1992
"1,481",Law Abiding Citizen,"$127,944,208","$73,357,727",57.3%,"$54,586,481",42.7%,2009
"1,482",The Adjustment Bureau,"$127,869,379","$62,495,645",48.9%,"$65,373,734",51.1%,2010
"1,483",U-571,"$127,666,415","$77,122,415",60.4%,"$50,544,000",39.6%,2000
"1,484",First Knight,"$127,600,435","$37,600,435",29.5%,"$90,000,000",70.5%,1995
"1,485",Ad Astra,"$127,461,872","$50,188,370",39.4%,"$77,273,502",60.6%,2019
"1,486",March of the Penguins,"$127,392,693","$77,437,223",60.8%,"$49,955,470",39.2%,2005
"1,487",Midway,"$127,390,389","$56,846,802",44.6%,"$70,543,587",55.4%,2019
"1,488",Hide and Seek,"$127,369,981","$51,100,486",40.1%,"$76,269,495",59.9%,2005
"1,489",Civil War,"$127,338,048","$68,756,072",54%,"$58,581,976",46%,2024
"1,490",Predators,"$127,233,108","$52,000,688",40.9%,"$75,232,420",59.1%,2010
"1,491",Longlegs,"$126,942,386","$74,346,140",58.6%,"$52,596,246",41.4%,2024
"1,492",Smokey and the Bandit,"$126,750,426","$126,737,428",100%,"$12,998",<0.1%,1977
"1,493",Chronicle,"$126,636,097","$64,575,175",51%,"$62,060,922",49%,2012
"1,494",Walking with Dinosaurs 3D,"$126,546,518","$36,076,121",28.5%,"$90,470,397",71.5%,2012
"1,495",Parenthood,"$126,297,830","$100,047,830",79.2%,"$26,250,000",20.8%,1989
"1,496",L.A. Confidential,"$126,216,940","$64,616,940",51.2%,"$61,600,000",48.8%,1997
"1,497",Sex Tape,"$126,069,509","$38,543,473",30.6%,"$87,526,036",69.4%,2014
"1,498",This Is the End,"$126,041,322","$101,470,202",80.5%,"$24,571,120",19.5%,2013
"1,499",The King's Man,"$125,897,478","$37,176,373",29.5%,"$88,721,105",70.5%,2021
"1,500",Kalki 2898 AD,"$125,857,438","$18,289,575",14.5%,"$107,567,863",85.5%,2024
"1,501",The Upside,"$125,856,180","$108,252,517",86%,"$17,603,663",14%,2019
"1,502",Detective Chinatown,"$125,842,935","$474,252",0.4%,"$125,368,683",99.6%,2015
"1,503",Wolf Totem,"$125,837,070","$210,591",0.2%,"$125,626,479",99.8%,2015
"1,504",Mechanic: Resurrection,"$125,729,635","$21,218,403",16.9%,"$104,511,232",83.1%,2016
"1,505",I Know What You Did Last Summer,"$125,586,134","$72,586,134",57.8%,"$53,000,000",42.2%,1997
"1,506",Ender's Game,"$125,544,024","$61,737,191",49.2%,"$63,806,833",50.8%,2013
"1,507",Happy Death Day,"$125,479,266","$55,683,845",44.4%,"$69,795,421",55.6%,2017
"1,508",Captain Underpants: The First Epic Movie,"$125,427,681","$73,921,000",58.9%,"$51,506,681",41.1%,2017
"1,509",First Blood,"$125,212,904","$47,212,904",37.7%,"$78,000,000",62.3%,1982
"1,510",Rocky III,"$125,052,898","$125,049,125",100%,"$3,773",-,1982
"1,511",The Queen,"$124,925,340","$56,441,711",45.2%,"$68,483,629",54.8%,2006
"1,512","Legally Blonde 2: Red, White & Blonde","$124,914,842","$90,186,328",72.2%,"$34,728,514",27.8%,2003
"1,513",Donnie Brasco,"$124,909,762","$41,909,762",33.6%,"$83,000,000",66.4%,1997
"1,514",The Family Man,"$124,745,083","$75,793,305",60.8%,"$48,951,778",39.2%,2000
"1,515",Ride Along 2,"$124,608,438","$91,221,830",73.2%,"$33,386,608",26.8%,2015
"1,516",The Thomas Crown Affair,"$124,305,181","$69,305,181",55.8%,"$55,000,000",44.2%,1999
"1,517",Ray,"$123,971,376","$75,331,600",60.8%,"$48,639,776",39.2%,2004
"1,518","Good Morning, Vietnam","$123,923,090","$123,922,370",100%,$720,-,1987
"1,519",The Lego Ninjago Movie,"$123,764,177","$59,364,177",48%,"$64,400,000",52%,2017
"1,520",The Time Machine,"$123,729,176","$56,832,494",45.9%,"$66,896,682",54.1%,2002
"1,521",The Theory of Everything,"$123,726,688","$35,893,537",29%,"$87,833,151",71%,2014
"1,522",Last Christmas,"$123,446,172","$35,150,750",28.5%,"$88,295,422",71.5%,2019
"1,523",The Wedding Singer,"$123,307,685","$80,245,725",65.1%,"$43,061,960",34.9%,1998
"1,524",Nanny McPhee,"$123,276,807","$47,144,110",38.2%,"$76,132,697",61.8%,2005
"1,525",Big Fish,"$123,235,422","$66,809,693",54.2%,"$56,425,729",45.8%,2003
"1,526",The Curse of La Llorona,"$123,233,739","$54,733,739",44.4%,"$68,500,000",55.6%,2019
"1,527",The Pirates! Band of Misfits,"$123,069,765","$31,051,126",25.2%,"$92,018,639",74.8%,2012
"1,528",Looking Up,"$122,994,583","$84,267",<0.1%,"$122,910,316",99.9%,2019
"1,529",Volcano,"$122,823,468","$49,323,468",40.2%,"$73,500,000",59.8%,1997
"1,530",Zombieland: Double Tap,"$122,810,399","$73,123,082",59.5%,"$49,687,317",40.5%,2019
"1,531",Magic Mike XXL,"$122,613,057","$66,013,057",53.8%,"$56,600,000",46.2%,2015
"1,532",Dragon Blade,"$122,606,884","$74,068",<0.1%,"$122,532,816",99.9%,2015
"1,533",Spirit: Stallion of the Cimarron,"$122,563,539","$73,280,117",59.8%,"$49,283,422",40.2%,2002
"1,534",Surrogates,"$122,444,772","$38,577,772",31.5%,"$83,867,000",68.5%,2009
"1,535",Invictus,"$122,426,792","$37,491,364",30.6%,"$84,935,428",69.4%,2009
"1,536",Mousehunt,"$122,417,389","$61,917,389",50.6%,"$60,500,000",49.4%,1997
"1,537",A Haunting in Venice,"$122,290,456","$42,471,412",34.7%,"$79,819,044",65.3%,2023
"1,538",Mortal Kombat,"$122,195,920","$70,454,098",57.7%,"$51,741,822",42.3%,1995
"1,539",Prisoners,"$122,127,446","$61,002,302",50%,"$61,125,144",50%,2013
"1,540",Gran Turismo,"$122,076,738","$44,428,554",36.4%,"$77,648,184",63.6%,2023
"1,541",Soul,"$121,977,511","$946,154",0.8%,"$121,031,357",99.2%,2020
"1,542",Peter Pan,"$121,975,011","$48,462,608",39.7%,"$73,512,403",60.3%,2003
"1,543",Executive Decision,"$121,969,216","$56,569,216",46.4%,"$65,400,000",53.6%,1996
"1,544",Pinocchio,"$121,892,045","$84,254,167",69.1%,"$37,637,878",30.9%,1940
"1,545",Pride & Prejudice,"$121,803,070","$38,591,603",31.7%,"$83,211,467",68.3%,2005
"1,546",Deepwater Horizon,"$121,790,373","$61,433,527",50.4%,"$60,356,846",49.6%,2016
"1,547",Starship Troopers,"$121,214,377","$54,814,377",45.2%,"$66,400,000",54.8%,1997
"1,548",Bajrangi Bhaijaan,"$121,126,188","$8,178,001",6.8%,"$112,948,187",93.2%,2015
"1,549",Instant Family,"$120,989,830","$67,363,237",55.7%,"$53,626,593",44.3%,2018
"1,550",The Nut Job,"$120,885,527","$64,251,541",53.2%,"$56,633,986",46.8%,2014
"1,551",Intolerable Cruelty,"$120,802,239","$35,327,628",29.2%,"$85,474,611",70.8%,2003
"1,552",Apocalypto,"$120,654,337","$50,866,635",42.2%,"$69,787,702",57.8%,2006
"1,553",Dora and the Lost City of Gold,"$120,597,108","$60,477,943",50.2%,"$60,119,165",49.8%,2019
"1,554",Eight Below,"$120,455,994","$81,612,565",67.8%,"$38,843,429",32.2%,2006
"1,555",Red Cliff II,"$120,432,178",-,-,"$120,432,178",100%,2009
"1,556",Lethal Weapon,"$120,207,127","$65,207,127",54.2%,"$55,000,000",45.8%,1987
"1,557",The Pianist,"$120,098,945","$32,590,750",27.1%,"$87,508,195",72.9%,2002
"1,558",We Bought a Zoo,"$120,081,841","$75,624,550",63%,"$44,457,291",37%,2011
"1,559",The Omen,"$119,975,084","$54,607,383",45.5%,"$65,367,701",54.5%,2006
"1,560",Rocky V,"$119,946,358","$40,946,358",34.1%,"$79,000,000",65.9%,1990
"1,561",The Commuter,"$119,942,434","$36,343,858",30.3%,"$83,598,576",69.7%,2017
"1,562",Extreme Job,"$119,932,733","$1,565,885",1.3%,"$118,366,848",98.7%,2019
"1,563",The Addams Family 2,"$119,815,153","$56,489,153",47.2%,"$63,326,000",52.8%,2021
"1,564",Parental Guidance,"$119,772,232","$77,267,296",64.5%,"$42,504,936",35.5%,2012
"1,565",Road Trip,"$119,754,278","$68,540,777",57.2%,"$51,213,501",42.8%,2000
"1,566",Spy Kids 2: Island of Lost Dreams,"$119,723,358","$85,846,429",71.7%,"$33,876,929",28.3%,2002
"1,567",Michael,"$119,718,203","$95,318,203",79.6%,"$24,400,000",20.4%,1996
"1,568",Blazing Saddles,"$119,625,020","$119,616,663",100%,"$8,357",<0.1%,1974
"1,569",Wonder Park,"$119,559,110","$45,216,793",37.8%,"$74,342,317",62.2%,2019
